"","year_","ID","capdt","gpsdt","weight","culmen","totalHead","tarsus","wing","thr_width","thr_height","sex","n_by_id","capture_id","delta_weight","delta_time"
"89",2007,123233232,2007-06-10 10:29:00,2007-06-10 10:30:12,101.599998474121,30.9699993133545,58.1699981689453,29.5799999237061,146,NA,NA,1,2,"123233232_2007",NA,NA
"90",2007,123233232,2007-06-17 13:45:00,2007-06-17 13:46:31,105.099998474121,NA,NA,NA,NA,NA,NA,1,2,"123233232_2007",3.5,616579
"91",2007,123233234,2007-06-10 12:38:00,2007-06-10 12:41:27,84.4000015258789,28.5699996948242,54.3300018310547,26.5400009155273,140,NA,NA,1,2,"123233234_2007",NA,NA
"92",2007,123233234,2007-06-15 15:54:00,2007-06-15 16:04:46,94.5,NA,NA,NA,NA,NA,NA,1,2,"123233234_2007",10.0999984741211,444199
"93",2007,123233237,2007-06-11 13:55:00,2007-06-11 13:58:16,95,28.2000007629395,55.0800018310547,26.8199996948242,135.5,NA,NA,1,2,"123233237_2007",NA,NA
"94",2007,123233237,2007-06-22 12:56:00,2007-06-22 12:58:21,83.5,NA,NA,NA,NA,NA,NA,1,2,"123233237_2007",-11.5,946805
"95",2007,123233238,2007-06-10 15:15:00,2007-06-10 15:23:03,104.699996948242,29.3299999237061,56.6199989318848,27.9200000762939,142,NA,NA,1,2,"123233238_2007",NA,NA
"96",2007,123233238,2007-06-11 16:40:00,2007-06-11 16:38:49,104,NA,NA,NA,NA,NA,NA,1,2,"123233238_2007",-0.699996948242188,90946
"97",2007,123233283,2007-06-11 16:30:00,2007-06-11 16:48:15,102.599998474121,28.5699996948242,56.5499992370605,28.5499992370605,140,NA,NA,1,2,"123233283_2007",NA,NA
"98",2007,123233283,2007-06-19 21:36:00,2007-06-19 21:38:19,102.599998474121,NA,NA,NA,NA,NA,NA,1,2,"123233283_2007",0,708604
"99",2007,123233304,2007-06-12 12:40:00,2007-06-12 12:50:36,99.6999969482422,28.8299999237061,55.8800010681152,28.5400009155273,145,NA,NA,1,2,"123233304_2007",NA,NA
"100",2007,123233304,2007-06-19 15:10:00,2007-06-19 15:22:07,79.5,NA,NA,NA,NA,NA,NA,1,2,"123233304_2007",-20.1999969482422,613891
"101",2008,127231811,2008-06-03 10:10:00,2008-06-03 10:02:49,94.6999969482422,29.2199993133545,57.2099990844727,30.8199996948242,150,NA,NA,1,2,"127231811_2008",NA,NA
"102",2008,127231811,2008-06-05 16:59:00,2008-06-05 17:05:44,110.800003051758,NA,NA,NA,NA,NA,NA,1,2,"127231811_2008",16.1000061035156,198175
"103",2008,127231814,2008-06-03 11:55:00,2008-06-03 11:40:57,103.800003051758,29.9699993133545,56.8600006103516,29.8600006103516,146.5,NA,NA,1,3,"127231814_2008",NA,NA
"104",2008,127231814,2008-06-06 16:10:00,2008-06-06 17:02:51,104.400001525879,NA,NA,NA,NA,NA,NA,1,3,"127231814_2008",0.599998474121094,278514
"105",2008,127231814,2008-06-16 09:43:00,2008-06-16 09:58:57,103.199996948242,NA,NA,NA,NA,NA,NA,1,3,"127231814_2008",-1.20000457763672,838566
"106",2008,127231831,2008-06-04 14:44:00,2008-06-04 14:28:09,109,28.2199993133545,55.2700004577637,29.5100002288818,144,NA,NA,1,2,"127231831_2008",NA,NA
"107",2008,127231838,2008-06-06 11:00:00,2008-06-06 11:10:05,102.599998474121,29,57.2000007629395,30.75,141,NA,NA,1,2,"127231838_2008",NA,NA
"108",2008,127231842,2008-06-08 12:35:00,2008-06-08 12:41:15,92,28.5499992370605,55.25,28,142,NA,NA,1,2,"127231842_2008",NA,NA
"109",2008,127231842,2008-06-14 13:38:00,2008-06-14 13:40:49,93.5,NA,NA,NA,NA,NA,NA,1,2,"127231842_2008",1.5,521974
"110",2008,127231846,2008-06-09 17:00:00,2008-06-09 17:04:25,98,28.1000003814697,54.9000015258789,29.3999996185303,144.5,NA,NA,1,2,"127231846_2008",NA,NA
"111",2008,127231846,2008-06-14 10:32:00,2008-06-14 10:39:03,96,NA,NA,NA,NA,NA,NA,1,2,"127231846_2008",-2,408878
"112",2008,127231859,2008-06-12 14:05:00,2008-06-12 14:10:33,88,29.6000003814697,56.2000007629395,29.6000003814697,138,NA,NA,1,2,"127231859_2008",NA,NA
"113",2008,127231859,2008-06-21 10:28:00,2008-06-21 10:25:12,90.9000015258789,NA,NA,NA,NA,NA,NA,1,2,"127231859_2008",2.90000152587891,764079
"114",2008,127231866,2008-06-14 11:01:00,2008-06-14 11:06:26,98,29.1000003814697,56.0999984741211,27.6000003814697,143,NA,NA,1,2,"127231866_2008",NA,NA
"115",2008,127231866,2008-06-16 15:30:00,2008-06-16 15:49:30,94.5999984741211,NA,NA,NA,NA,NA,NA,1,2,"127231866_2008",-3.40000152587891,189784
"116",2008,127231901,2008-06-03 18:19:00,2008-06-03 18:05:32,89.9000015258789,29.7000007629395,55.6699981689453,29.5799999237061,149.5,NA,NA,1,2,"127231901_2008",NA,NA
"117",2008,127231901,2008-06-07 10:28:00,2008-06-07 10:52:47,99,NA,NA,NA,NA,NA,NA,1,2,"127231901_2008",9.09999847412109,319635
"118",2008,127231902,2008-06-04 14:10:00,2008-06-04 14:12:04,89.5999984741211,29.5699996948242,55.3400001525879,29.0100002288818,142,NA,NA,1,2,"127231902_2008",NA,NA
"119",2008,127231902,2008-06-09 17:46:00,2008-06-09 17:49:55,100,NA,NA,NA,NA,NA,NA,1,2,"127231902_2008",10.4000015258789,445071
"120",2008,127231903,2008-06-07 09:38:00,2008-06-07 09:45:57,100.599998474121,29.6299991607666,56.3899993896484,30.8999996185303,149.5,NA,NA,1,2,"127231903_2008",NA,NA
"121",2008,127231903,2008-06-09 09:35:00,2008-06-09 09:43:29,103,NA,NA,NA,NA,NA,NA,1,2,"127231903_2008",2.40000152587891,172652
"122",2008,127231904,2008-06-07 10:44:00,2008-06-07 10:47:16,96.0999984741211,29.8999996185303,56.9500007629395,28.7299995422363,140.5,NA,NA,1,2,"127231904_2008",NA,NA
"123",2008,127231904,2008-06-08 11:00:00,2008-06-08 10:43:17,94,NA,NA,NA,NA,NA,NA,1,2,"127231904_2008",-2.09999847412109,86161
