"","year_","ID","capdt","gpsdt","weight","culmen","totalHead","tarsus","wing","thr_width","thr_height","sex","n_by_id"
"180",2006,123213003,2006-06-19 12:09:00,2006-06-19 12:27:01,101,28.7000007629395,55.2000007629395,29.7999992370605,146,4.33333015441895,NA,1,1
"181",2006,123213004,2006-06-19 14:42:00,2006-06-19 15:23:33,102,30.4899997711182,55.4599990844727,30.3899993896484,147,3.83332991600037,NA,1,1
"182",2006,123213005,2006-06-19 15:30:00,2006-06-19 15:47:36,99,28.2399997711182,53.5699996948242,28.2099990844727,144,4,NA,1,1
"183",2006,123213006,2006-06-22 13:12:00,2006-06-22 13:24:33,102,30.2000007629395,56,29.7000007629395,140.5,3,NA,1,1
"184",2006,123213007,2006-06-22 22:15:00,2006-06-22 22:29:24,103,29.7000007629395,57.0999984741211,30.1000003814697,148,4.5,NA,1,1
"185",2006,123213008,2006-06-20 11:15:00,2006-06-20 12:07:33,105,27.0499992370605,51.8699989318848,27.7000007629395,142,3.33332991600037,NA,1,1
"186",2006,123213009,2006-06-22 23:00:00,2006-06-22 23:17:13,95,29,54.9000015258789,27.6000003814697,148,3.16667008399963,NA,1,1
"187",2006,123213010,2006-06-22 22:58:00,2006-06-22 23:18:51,80,30.2000007629395,57.5999984741211,30.5,146,1.83333003520966,NA,1,1
"188",2006,123213011,2006-06-20 12:40:00,2006-06-20 13:13:56,100,28.8999996185303,56.2999992370605,30.2000007629395,144,4.16666984558105,NA,1,1
"189",2006,123213012,2006-06-20 13:47:00,2006-06-20 13:59:49,98,29.3999996185303,57.7000007629395,28.8999996185303,148,3,NA,1,1
"190",2006,123213013,2006-06-21 00:50:00,2006-06-21 01:07:41,102,30.3999996185303,57.5999984741211,31.7999992370605,145,4.66666984558105,NA,1,1
"191",2006,123213014,2006-06-22 10:39:00,2006-06-22 10:58:22,97,29.2999992370605,55.5,30.3999996185303,145,3.16667008399963,NA,1,1
"192",2006,123213015,2006-06-22 11:45:00,2006-06-22 12:47:59,97,30.1000003814697,56,30.2000007629395,149,3.33332991600037,NA,1,1
"193",2006,123213017,2006-06-22 11:16:00,2006-06-22 11:24:12,94,27.3999996185303,54.7999992370605,30.8999996185303,145,3.33332991600037,NA,1,1
"194",2006,123213020,2006-06-22 13:23:00,2006-06-22 14:13:34,101,29,55,28.2000007629395,143,4,NA,1,1
"195",2006,123213021,2006-06-09 15:51:00,2006-06-09 16:04:16,105,29.3999996185303,55.2999992370605,28.7999992370605,141,4,NA,1,1
